WIDTH,LUTs,DSPs
90,314,26
91,7014,0
91,3671,8
91,1052,18
91,316,26
92,6825,0
92,4191,6
92,1060,18
92,318,26
93,7264,0
93,3752,8
93,1074,18
93,320,26
94,7332,0
94,3820,8
94,1083,18
94,322,26
95,7769,0
95,3322,10
95,1097,18
95,812,24
95,673,27
95,381,36
96,8143,0
96,2818,12
96,1105,18
96,679,27
96,385,36
97,7907,0
97,3403,10
97,1119,18
97,688,27
97,389,36
98,7973,0
98,3412,10
98,1128,18
98,694,27
98,393,36
99,8039,0
99,7744,0
99,4061,8
99,1777,16
99,1315,18
99,993,21
99,703,27
99,397,36
100,7740,0
100,7445,0
100,4640,6
100,1785,16
100,1323,18
100,1001,21
100,709,27
100,401,36
101,8477,0
101,7887,0
101,4147,8
101,2434,14
101,1510,18
101,864,24
101,718,27
101,405,36
102,8845,0
102,7960,0
102,4220,8
102,3078,12
102,1692,18
102,724,27
102,409,36
103,9283,0
103,8398,0
103,4291,9
103,3431,12
103,1399,21
103,753,27
103,440,36
104,9655,0
104,8770,0
104,3728,11
104,3439,12
104,1407,21
104,759,27
104,458,36
105,9724,0
105,8544,0
105,5005,8
105,4427,10
105,1144,24
105,820,27
105,496,36
106,9793,0
106,8613,0
106,5642,7
106,4775,10
106,846,27
106,449,37
107,9889,0
107,8395,0
107,6359,5
107,5212,9
107,835,28
107,455,37
108,9892,0
108,8103,0
108,7002,3
108,5855,7
108,873,28
108,461,37
109,10058,0
109,8545,0
109,7077,4
109,4099,15
109,830,29
109,468,37
110,10154,0
110,8622,0
110,7154,4
110,3896,16
110,784,30
110,471,37
111,10298,0
111,9061,0
111,7226,5
111,2349,23
111,793,30
111,474,37
112,10371,0
112,9429,0
112,7227,6
112,799,30
112,616,49
113,10472,0
113,9216,0
113,7381,5
113,2224,24
113,808,30
113,622,49
114,10546,0
114,9290,0
114,7455,5
114,2230,24
114,814,30
114,628,49
115,10640,0
115,9136,0
115,7668,4
115,3456,19
115,823,30
115,634,49
116,10670,0
116,8852,0
116,7751,3
116,4878,13
116,829,30
116,640,49
117,10785,0
117,9347,0
117,7879,4
117,3471,19
117,838,30
117,646,49
118,10852,0
118,9480,0
118,8012,4
118,3278,20
118,844,30
118,651,49
119,10954,0
119,9896,0
119,8061,5
119,3318,21
119,1652,28
119,1338,30
119,1162,32
119,902,36
119,655,49
120,11005,0
120,10261,0
120,8059,6
120,2107,26
120,1658,28
120,1344,30
120,1168,32
120,908,36
120,677,49
121,11079,0
121,10087,0
121,8252,5
121,3183,22
121,2489,25
121,2018,28
121,1490,34
121,1226,38
121,966,42
121,704,49
122,11133,0
122,10141,0
122,8306,5
122,4437,18
122,3294,23
122,2509,28
122,1805,36
122,744,49
123,11229,0
123,10002,0
123,8179,5
123,4273,18
123,3334,22
123,2706,26
123,671,50
124,11252,0
124,9777,0
124,8321,4
124,4098,18
124,3363,21
124,2892,24
124,675,50
125,11363,0
125,10149,0
125,7971,6
125,4345,18
125,3365,22
125,2737,26
125,679,50
126,11439,0
126,10238,0
126,7705,7
126,4359,18
126,3379,22
126,2751,26
126,683,50
127,11568,0
127,10615,0
127,7715,8
127,4360,19
127,3380,23
127,2595,28
127,687,50
128,11606,0
128,10901,0
128,7634,9
128,4596,19
128,3371,24
128,2429,30
128,691,50
129,11742,0
129,10802,0
129,7547,9
129,4146,20
129,3411,23
129,2626,28
129,1918,36
129,1348,44
129,1073,48
129,750,64
130,11836,0
130,10896,0
130,7641,9
130,3914,21
130,3424,23
130,2639,28
130,1931,36
130,1078,48
130,763,64
131,11716,0
131,10776,0
131,7166,10
131,3728,21
131,3483,22
131,2855,26
131,2669,28
131,1961,36
131,1088,48
131,776,64
132,11761,0
132,10586,0
132,6988,10
132,3513,21
132,3042,24
132,2856,26
132,1971,36
132,1094,48
132,789,64
133,11652,0
133,10947,0
133,6970,11
133,3532,22
133,2904,26
133,2532,30
133,2001,36
133,1693,40
133,1103,48
133,802,64
134,11490,0
134,11020,0
134,6676,12
134,3564,22
134,2936,26
134,2378,32
134,2024,36
134,1716,40
134,1110,48
134,816,64
135,11593,0
135,11358,0
135,6635,13
135,3560,23
135,2932,27
135,2807,28
135,2249,34
135,1730,40
135,1422,44
135,1119,48
135,829,64
136,11649,0
136,6914,13
136,3550,24
136,2765,29
136,2640,30
136,2082,36
136,1740,40
136,1124,48
136,843,64
137,11485,0
137,6028,15
137,3605,23
137,3134,26
137,2884,28
137,2140,36
137,1462,44
137,1154,48
137,856,64
138,11535,0
138,5711,16
138,3614,23
138,3300,25
138,2925,28
138,2181,36
138,1161,48
138,870,64
139,11852,0
139,11303,1
139,5479,17
139,3708,23
139,3538,24
139,3381,25
139,3006,28
139,1901,40
139,1223,48
139,884,64
140,11641,0
140,11092,1
140,4913,18
140,3757,22
140,3587,23
140,3212,26
140,1921,40
140,1249,48
140,898,65
141,12437,0
141,11339,2
141,5503,18
141,3769,24
141,3429,26
141,2929,30
141,2010,40
141,1238,49
141,912,65
142,12968,0
142,11321,3
142,5840,18
142,3817,25
142,3307,28
142,2807,32
142,1713,44
142,1277,49
142,926,65
143,13471,0
143,11275,4
143,6516,17
143,3915,26
143,3405,29
143,2642,35
143,2216,39
143,1669,45
143,1233,50
143,940,65
144,13739,0
144,11543,4
144,6772,17
144,3882,27
144,3372,30
144,2484,37
144,2058,41
144,1186,51
144,955,65
145,14244,0
145,10950,6
145,7280,16
145,4101,27
145,3421,31
145,2520,38
145,2057,42
145,1631,46
145,1195,51
145,969,65
146,14482,0
146,10639,7
146,7703,15
146,4235,27
146,3555,31
146,2516,39
146,2053,43
146,1201,51
146,984,81
147,14818,0
147,10426,8
147,8224,14
147,4756,26
147,4115,29
147,3435,33
147,2099,43
147,1636,47
147,1210,51
147,998,81
148,15088,0
148,10147,9
148,8312,14
148,4844,26
148,4203,29
148,3353,34
148,2142,43
148,1216,51
148,1013,81
149,15129,0
149,10188,9
149,9087,12
149,5330,25
149,4048,31
149,3538,34
149,2636,40
149,1688,47
149,1225,51
149,1028,81
150,15198,0
150,10257,9
150,9523,11
150,5766,24
150,3843,33
150,3503,35
150,2601,41
150,1231,51
150,1043,81
151,15570,0
151,10080,10
151,9713,11
151,6245,23
151,3647,35
151,3477,36
151,1925,46
151,1240,51
151,1059,81
152,15545,0
152,10055,10
152,6298,23
152,3700,35
152,1246,51
152,1074,81
153,16043,0
153,10004,11
153,7114,21
153,3200,39
153,1648,49
153,1345,59
153,1089,81
154,16443,0
154,9855,12
154,7543,20
154,2954,41
154,1654,49
154,1351,59
154,1105,81
155,16938,0
155,10350,12
155,9641,14
155,7306,22
155,2717,43
155,2067,47
155,1452,67
155,1120,81
156,17039,0
156,10451,12
156,9742,14
156,7696,21
156,2466,45
156,1136,81
157,17739,0
157,10602,13
157,9184,17
157,7115,24
157,2492,45
157,1152,82
158,18136,0
158,10999,13
158,8872,19
158,6491,27
158,2509,45
158,1168,82
159,18336,0
159,11748,12
159,8912,20
159,5875,30
159,2534,45
159,1184,82
160,18642,0
160,11505,13
160,8669,21
160,5921,30
160,2546,45
160,1200,82
161,18634,0
161,13144,10
161,8890,22
161,4596,36
161,2571,45
161,1217,82
162,18531,0
162,14139,8
162,9176,22
162,3937,39
162,2587,45
162,1233,82
163,18532,0
163,15238,6
163,8524,25
163,3285,42
163,2610,45
163,1624,75
163,1249,100
164,18630,0
164,15885,5
164,8462,26
164,2622,45
164,1632,75
164,1266,100
165,18339,0
165,16692,3
165,8227,27
165,2644,45
165,2306,55
165,1644,75
165,1283,100
166,18245,0
166,17147,2
166,7640,29
166,2658,45
166,2320,55
166,1652,75
166,1300,100
167,18451,0
167,17902,1
167,7686,30
167,2793,46
167,2334,55
167,1996,65
167,1662,75
167,1317,100
168,18257,0
168,8041,29
168,2804,46
168,2345,55
168,1669,75
168,1334,100
169,18764,0
169,6797,34
169,2938,47
169,2034,65
169,1696,75
169,1351,100
170,19167,0
170,6491,36
170,3065,48
170,1702,75
170,1368,100
171,19749,0
171,6195,38
171,3202,49
171,2656,57
171,1752,75
171,1386,100
172,19856,0
172,5260,41
172,3212,49
172,2666,57
172,1776,75
172,1403,100
173,20634,0
173,6535,39
173,3463,51
173,2834,58
173,2288,66
173,1843,75
173,1421,100
174,21112,0
174,7177,38
174,3593,52
174,2964,59
174,1872,75
174,1439,101
175,21402,0
175,8340,35
175,3732,53
175,2386,68
175,1840,76
175,1456,101
176,21705,0
176,8976,34
176,3856,54
176,1881,76
176,1474,101
177,21874,0
177,9516,32
177,3884,54
177,3160,62
177,1814,77
177,1492,101
178,21864,0
178,10046,30
178,3902,54
178,3178,62
178,1744,78
178,1511,101
179,21923,0
179,10645,28
179,3930,54
179,2470,70
179,1753,78
179,1529,101
180,22105,0
180,10658,28
180,3943,54
180,1759,78
180,1547,121
181,21797,0
181,11768,24
181,3970,54
181,1768,78
181,1566,121
182,21677,0
182,12357,22
182,3988,54
182,1774,78
182,1584,121
183,21932,0
183,12443,22
183,4015,54
183,1783,78
183,1603,121
184,21747,0
184,12967,20
184,4027,54
184,1789,78
184,1622,121
185,22259,0
185,12601,22
185,4055,54
185,1798,78
185,1641,121
186,22702,0
186,12166,24
186,4073,54
186,1804,78
186,1660,121
187,23212,0
187,11741,26
187,4101,54
187,2586,70
187,2301,76
187,2162,79
187,1870,88
187,1679,121
188,23284,0
188,11813,26
188,4114,54
188,2592,70
188,2307,76
188,2168,79
188,1876,88
188,1699,121
189,24100,0
189,10816,30
189,4141,54
189,3380,62
189,2669,77
189,2530,80
189,1944,98
189,1718,121
190,24541,0
190,10322,32
190,4159,54
190,3163,75
190,2885,81
190,2007,108
190,1738,121
191,24684,0
191,10408,32
191,4186,54
191,3044,78
191,2905,81
191,2020,108
191,1757,122
192,25062,0
192,9908,34
192,4198,54
192,2915,81
192,2028,108
192,1777,122
193,24897,0
193,10507,32
193,4226,54
193,2935,81
193,2041,108
193,1797,122
194,24665,0
194,11096,30
194,4244,54
194,2948,81
194,2049,108
194,1817,122
195,24802,0
195,24507,0
195,11759,28
195,4907,52
195,4445,54
195,4123,57
195,2968,81
195,2662,90
195,2062,108
195,1837,122
196,24872,0
196,24577,0
196,11772,28
196,4920,52
196,4458,54
196,4136,57
196,2978,81
196,2672,90
196,2070,108
196,1857,122
197,24644,0
197,24054,0
197,13005,24
197,5582,50
197,4658,54
197,4014,60
197,2998,81
197,2384,99
197,2083,108
197,1877,144
198,24714,0
198,23829,0
198,13658,22
198,6235,48
198,4849,54
198,3883,63
198,3011,81
198,2091,108
198,1898,144
199,25157,0
199,23977,0
199,13749,22
199,6897,46
199,5049,54
199,3759,66
199,3031,81
199,2718,90
199,2104,108
199,1918,144
200,24862,0
200,23682,0
200,14332,20
200,6909,46
200,5061,54
200,3771,66
200,3041,81
200,2728,90
200,2112,108
200,1939,144
201,25972,0
201,24202,0
201,13917,22
201,8207,42
201,5435,54
201,3499,72
201,3061,81
201,2433,99
201,2125,108
201,1960,144
202,26713,0
202,24648,0
202,13428,24
202,8860,40
202,5626,54
202,3366,75
202,3074,81
202,2133,108
202,1981,144
203,27524,0
203,25164,0
203,13577,25
203,9862,38
203,5520,57
203,3260,78
203,3114,81
203,2173,108
203,2002,144
204,27896,0
204,25241,0
204,13654,25
204,10510,36
204,5706,57
204,3124,81
204,2181,108
204,2023,144
205,28711,0
205,26056,0
205,13167,28
205,10876,36
205,5426,60
205,3164,81
205,2536,99
205,2235,108
205,2044,144
206,29153,0
206,26498,0
206,13242,29
206,11233,36
206,5137,63
206,3197,81
206,2571,99
206,2270,108
206,2065,144
207,29599,0
207,26649,0
207,13961,28
207,12234,34
207,4887,66
207,3269,81
207,2632,99
207,2331,108
207,2087,144
208,29975,0
208,27025,0
208,13402,30
208,12246,34
208,4899,66
208,3279,81
208,2955,90
208,2353,108
208,2108,145
209,30118,0
209,26873,0
209,15321,26
209,13587,32
209,4343,72
209,3371,81
209,2974,91
209,2650,100
209,2349,109
209,2130,145
210,30191,0
210,26651,0
210,16602,23
210,14579,30
210,4084,75
210,3436,81
210,3039,91
210,2391,109
210,2152,145
211,30361,0
211,26507,0
211,17961,20
211,15369,29
211,3780,79
211,3456,82
211,3076,91
211,2679,101
211,2355,110
211,2173,145
212,30434,0
212,26580,0
212,18602,19
212,15721,29
212,3486,82
212,3106,91
212,2312,111
212,2195,145
213,30538,0
213,26075,0
213,19967,15
213,16806,26
213,3518,83
213,3106,92
213,2726,101
213,2329,111
213,2218,145
214,30638,0
214,25861,0
214,20688,13
214,17247,25
214,3511,84
214,3099,93
214,2339,111
214,2240,169
215,30812,0
215,26016,0
215,21411,12
215,16139,31
215,3511,85
215,2737,102
215,2357,111
215,2262,169
216,30819,0
216,25728,0
216,22058,10
216,16786,29
216,3553,85
216,2367,111
216,2284,169
217,31086,0
217,26252,0
217,22215,11
217,14832,38
217,3469,87
217,2382,111
217,2307,169
218,31256,0
218,26698,0
218,22294,12
218,13080,46
218,3430,88
218,2393,111
218,2330,169
219,31501,0
219,27219,0
219,22448,13
219,11335,54
219,3398,89
219,2404,111
219,2352,169
220,31601,0
220,27300,0
220,22529,13
220,11136,55
220,3356,90
220,2411,111
220,2375,169
221,31823,0
221,28112,0
221,22607,15
221,8044,69
221,3376,90
221,2744,104
221,2561,123
221,2398,169
222,31971,0
222,28555,0
222,22683,16
222,6501,76
222,3389,90
222,2751,104
222,2568,123
222,2421,169
223,32150,0
223,28715,0
223,22843,16
223,6381,77
223,3409,90
223,3090,97
223,2904,116
223,2721,135
223,2445,169
224,32227,0
224,29087,0
224,22848,17
224,4835,84
224,3419,90
224,2468,169
225,32407,0
225,28953,0
225,23081,16
225,6271,78
225,3439,90
225,2491,170
226,32512,0
226,28744,0
226,23239,15
226,7700,72
226,3452,90
226,2515,170
227,32685,0
227,28669,0
227,23531,14
227,8937,67
227,3472,90
227,2538,170
228,32763,0
228,28747,0
228,23609,14
228,8947,67
228,3482,90
228,2562,170
229,32892,0
229,28314,0
229,23910,12
229,11600,56
229,3502,90
229,2586,170
230,32990,0
230,28164,0
230,24127,11
230,12830,51
230,3515,90
230,2610,170
231,33140,0
231,28380,0
231,24343,11
231,12850,51
231,3535,90
231,3343,109
231,2965,147
231,2634,196
232,33174,0
232,28100,0
232,24430,10
232,14276,45
232,3545,90
232,3353,109
232,2975,147
232,2658,196
233,33361,0
233,28733,0
233,24696,11
233,12681,52
233,3565,90
233,3372,109
233,3180,128
233,2991,147
233,2683,196
234,33480,0
234,29232,0
234,24828,12
234,11278,58
234,3578,90
234,3385,109
234,3001,147
234,2707,196
235,33654,0
235,29786,0
235,25015,13
235,11130,60
235,4397,88
235,4083,90
235,3907,92
235,3647,96
235,3400,109
235,3207,128
235,3015,147
235,2732,196
236,33725,0
236,29923,0
236,25152,13
236,10941,61
236,4407,88
236,4093,90
236,3917,92
236,3657,96
236,3410,109
236,3024,147
236,2756,196
237,33883,0
237,30709,0
237,25204,15
237,9775,67
237,5226,86
237,4598,90
237,4246,94
237,3726,102
237,3479,115
237,3248,128
237,3055,147
237,2781,196
238,33989,0
238,31129,0
238,25257,16
238,9819,68
238,6038,84
238,5096,90
238,4568,96
238,3788,108
238,3294,134
238,3063,147
238,2806,196
239,34119,0
239,31325,0
239,25453,16
239,9689,69
239,6880,81
239,5781,88
239,4901,98
239,4637,102
239,3857,114
239,3595,121
239,3348,134
239,3117,147
239,2831,196
240,34174,0
240,31694,0
240,25455,17
240,8482,74
240,6890,81
240,5791,88
240,4911,98
240,4647,102
240,3867,114
240,3605,121
240,3143,147
240,2856,196
241,34307,0
241,31579,0
241,25707,16
241,10817,66
241,8531,76
241,6961,86
241,5553,102
241,4492,115
241,4228,119
241,3708,127
241,3446,134
241,3215,147
241,2881,196
242,34385,0
242,31409,0
242,25904,15
242,11897,62
242,9366,73
242,7639,84
242,5879,104
242,4818,117
242,4290,125
242,3770,133
242,3246,147
242,2907,197
243,34540,0
243,31329,0
243,25836,15
243,12992,58
243,10216,70
243,8332,82
243,5065,120
243,4004,133
243,3740,137
243,3480,141
243,3218,148
243,2932,197
244,34598,0
244,31387,0
244,25894,15
244,14250,54
244,11025,68
244,8827,82
244,5384,122
244,3262,148
244,2958,197
245,34722,0
245,31028,0
245,25914,14
245,13916,54
245,11099,66
245,9215,78
245,4259,136
245,3198,149
245,2983,197
246,34822,0
246,30893,0
246,25791,14
246,13756,54
246,11143,65
246,9416,76
246,3129,150
246,3009,197
247,34961,0
247,31045,0
247,25588,15
247,13833,54
247,11179,65
247,9452,76
247,3142,150
247,3035,197
248,34988,0
248,30824,0
248,25734,14
248,13662,54
248,11212,64
248,9642,74
248,3150,150
248,3061,225
249,35180,0
249,31290,0
249,25123,17
249,13928,54
249,11233,65
249,9506,76
249,3163,150
249,3087,225
250,35295,0
250,31666,0
250,24777,19
250,14179,54
250,11239,66
250,9355,78
250,3171,150
250,3113,225
251,35505,0
251,32137,0
251,24526,21
251,14199,55
251,11259,67
251,9218,80
251,3184,150
251,3140,225
252,35585,0
252,32230,0
252,24264,22
252,14217,55
252,11277,67
252,9236,80
252,3192,150
252,3166,225
253,35757,0
253,32898,0
253,24198,24
253,14459,56
253,11274,69
253,8919,84
253,3205,150
253,3193,225
254,35890,0
254,33279,0
254,24212,25
254,14464,57
254,11279,70
254,8767,86
254,3213,150
255,36069,0
255,33471,0
255,24049,26
255,14255,58
255,11315,70
255,8803,86
255,4449,136
255,3879,144
255,3604,148
255,3281,164
255,3246,225
256,36111,0
256,33761,0
256,23972,27
256,14495,58
256,11310,71
256,8641,88
256,4457,136
256,3887,144
256,3612,148
256,3273,225
512,110877,0
512,103592,0
512,74237,81
512,45117,176
512,36297,212
512,28447,262
512,16925,394
512,14362,430
512,13537,442
512,12568,490
512,12253,506
1024,358507,0
1024,331237,45
1024,272527,148
1024,218211,296
1024,184486,391
1024,138846,531
1024,113611,634
1024,90375,782
1024,73560,972
1024,57869,1154
1024,58577,1146
1024,58299,1152
1024,57905,1154
1024,57307,1162
1024,58219,1152
1024,57303,1162
1024,57759,1156
1024,57759,1156
1024,57020,1166
1024,53851,1210
1024,48757,1282
1024,46007,1322
1024,42777,1482
1024,41517,1546
1024,41415,1579
1024,41217,1720
1024,41137,2025
